[["1:1","Ἀποκάλυψις","N- ----NSF-","ἀποκάλυψις"],
["1:5","βασιλέων","N- ----GPM-","βασιλεύς"],
["1:5","τῆς","RA ----GSF-","ὁ"],
["1:5","γῆς.","N- ----GSF-","γῆ"],
["1:5","Τῷ","RA ----DSM-","ὁ"],
["1:5","ἀγαπῶντι","V- -PAPDSM-","ἀγαπάω"],
["1:5","ἡμᾶς","RP ----AP--","ἐγώ"],
["1:5","καὶ","C- --------","καί"],
["1:5","⸀λύσαντι","V- -AAPDSM-","λύω"],
["1:5","ἡμᾶς","RP ----AP--","ἐγώ"],
["1:5","⸀ἐκ","P- --------","ἐκ"],
["1:5","τῶν","RA ----GPF-","ὁ"],
["1:5","ἁμαρτιῶν","N- ----GPF-","ἁμαρτία"],
["1:5","ἡμῶν","RP ----GP--","ἐγώ"],
["1:5","ἐν","P- --------","ἐν"],
["1:5","τῷ","RA ----DSN-","ὁ"],
["1:5","αἵματι","N- ----DSN-","αἷμα"],
["1:5","αὐτοῦ—","RP ----GSM-","αὐτός"],
["1:6","καὶ","C- --------","καί"],
["1:6","ἐποίησεν","V- 3AAI-S--","ποιέω"],
["1:6","ἡμᾶς","RP ----AP--","ἐγώ"],
["1:6","βασιλείαν,","N- ----ASF-","βασιλεία"],
["1:6","ἱερεῖς","N- ----APM-","ἱερεύς"],
["1:6","τῷ","RA ----DSM-","ὁ"],
["1:6","θεῷ","N- ----DSM-","θεός"],
["1:6","καὶ","C- --------","καί"],
["1:6","πατρὶ","N- ----DSM-","πατήρ"],
["1:6","αὐτοῦ—","RP ----GSM-","αὐτός"],
["1:6","αὐτῷ","RP ----DSM-","αὐτός"],
["1:6","ἡ","RA ----NSF-","ὁ"],
["1:6","δόξα","N- ----NSF-","δόξα"],
["1:6","καὶ","C- --------","καί"],
["1:6","τὸ","RA ----NSN-","ὁ"],
["1:6","κράτος","N- ----NSN-","κράτος"],
["1:6","εἰς","P- --------","εἰς"],
["1:6","τοὺς","RA ----APM-","ὁ"],
["1:6","αἰῶνας","N- ----APM-","αἰών"],
["1:6","⸂τῶν","RA ----GPM-","ὁ"],
["1:6","αἰώνων⸃·","N- ----GPM-","αἰών"],
["1:6","ἀμήν.","X- --------","ἀμήν"],
["1:7","Ἰδοὺ","X- --------","ἰδού"],
["1:7","ἔρχεται","V- 3PMI-S--","ἔρχομαι"],
["1:7","μετὰ","P- --------","μετά"],
["1:7","τῶν","RA ----GPF-","ὁ"],
["1:7","νεφελῶν,","N- ----GPF-","νεφέλη"],
["1:7","καὶ","C- --------","καί"],
["1:7","ὄψεται","V- 3FMI-S--","ὁράω"],
["1:7","αὐτὸν","RP ----ASM-","αὐτός"],
["1:7","πᾶς","A- ----NSM-","πᾶς"],
["1:7","ὀφθαλμὸς","N- ----NSM-","ὀφθαλμός"],
["1:7","καὶ","C- --------","καί"],
["1:7","οἵτινες","RR ----NPM-","ὅστις"],
["1:7","αὐτὸν","RP ----ASM-","αὐτός"],
["1:7","ἐξεκέντησαν,","V- 3AAI-P--","ἐκκεντέω"],
["1:7","καὶ","C- --------","καί"],
["1:7","κόψονται","V- 3FMI-P--","κόπτω"],
["1:7","ἐπ’","P- --------","ἐπί"],
["1:7","αὐτὸν","RP ----ASM-","αὐτός"],
["1:7","πᾶσαι","A- ----NPF-","πᾶς"],
["1:7","αἱ","RA ----NPF-","ὁ"],
["1:7","φυλαὶ","N- ----NPF-","φυλή"],
["1:7","τῆς","RA ----GSF-","ὁ"],
["1:7","γῆς.","N- ----GSF-","γῆ"],
["1:7","ναί,","X- --------","ναί"],
["1:7","ἀμήν.","X- --------","ἀμήν"],
["1:8","Ἐγώ","RP ----NS--","ἐγώ"],
["1:8","εἰμι","V- 1PAI-S--","εἰμί"],
["1:8","τὸ","RA ----NSN-","ὁ"],
["1:8","Ἄλφα","N- ----NSN-","Ἄλφα"],
["1:8","καὶ","C- --------","καί"],
["1:8","τὸ","RA ----NSN-","ὁ"],
["1:8","Ὦ,","N- ----NSN-","Ὦ"],
["1:8","λέγει","V- 3PAI-S--","λέγω"],
["1:8","κύριος,","N- ----NSM-","κύριος"],
["1:8","ὁ","RA ----NSM-","ὁ"],
["1:8","θεός,","N- ----NSM-","θεός"],
["1:8","ὁ","RA ----NSM-","ὁ"],
["1:8","ὢν","V- -PAPNSM-","εἰμί"],
["1:8","καὶ","C- --------","καί"],
["1:8","ὁ","RA ----NSM-","ὁ"],
["1:8","ἦν","V- 3IAI-S--","εἰμί"],
["1:8","καὶ","C- --------","καί"],
["1:8","ὁ","RA ----NSM-","ὁ"],
["1:8","ἐρχόμενος,","V- -PMPNSM-","ἔρχομαι"],
["1:8","ὁ","RA ----NSM-","ὁ"],
["1:8","παντοκράτωρ.","N- ----NSM-","παντοκράτωρ"],
["1:9","Ἐγὼ","RP ----NS--","ἐγώ"],
["1:9","Ἰωάννης,","N- ----NSM-","Ἰωάννης"],
["1:9","ὁ","RA ----NSM-","ὁ"],
["1:9","ἀδελφὸς","N- ----NSM-","ἀδελφός"],
["1:9","ὑμῶν","RP ----GP--","σύ"],
["1:9","καὶ","C- --------","καί"],
["1:9","⸀συγκοινωνὸς","N- ----NSM-","συγκοινωνός"],
["1:9","ἐν","P- --------","ἐν"],
["1:9","τῇ","RA ----DSF-","ὁ"],
["1:9","θλίψει","N- ----DSF-","θλῖψις"],
["1:9","καὶ","C- --------","καί"],
["1:9","βασιλείᾳ","N- ----DSF-","βασιλεία"],
["1:9","καὶ","C- --------","καί"],
["1:9","ὑπομονῇ","N- ----DSF-","ὑπομονή"],
["1:9","⸀ἐν","P- --------","ἐν"],
["1:9","Ἰησοῦ,","N- ----DSM-","Ἰησοῦς"],
["1:9","ἐγενόμην","V- 1AMI-S--","γίνομαι"],
["1:9","ἐν","P- --------","ἐν"],
["1:9","τῇ","RA ----DSF-","ὁ"],
["1:9","νήσῳ","N- ----DSF-","νῆσος"],
["1:9","τῇ","RA ----DSF-","ὁ"],
["1:9","καλουμένῃ","V- -PPPDSF-","καλέω"],
["1:9","Πάτμῳ","N- ----DSF-","Πάτμος"],
["1:9","διὰ","P- --------","διά"],
["1:9","τὸν","RA ----ASM-","ὁ"],
["1:9","λόγον","N- ----ASM-","λόγος"],
["1:9","τοῦ","RA ----GSM-","ὁ"],
["1:9","θεοῦ","N- ----GSM-","θεός"],
["1:9","⸀καὶ","C- --------","καί"],
["1:9","τὴν","RA ----ASF-","ὁ"],
["1:9","μαρτυρίαν","N- ----ASF-","μαρτυρία"],
["1:9","⸀Ἰησοῦ.","N- ----GSM-","Ἰησοῦς"],
["1:10","ἐγενόμην","V- 1AMI-S--","γίνομαι"],
["1:10","ἐν","P- --------","ἐν"],
["1:10","πνεύματι","N- ----DSN-","πνεῦμα"],
["1:10","ἐν","P- --------","ἐν"],
["1:10","τῇ","RA ----DSF-","ὁ"],
["1:10","κυριακῇ","A- ----DSF-","κυριακός"],
["1:10","ἡμέρᾳ,","N- ----DSF-","ἡμέρα"],
["1:10","καὶ","C- --------","καί"],
["1:10","ἤκουσα","V- 1AAI-S--","ἀκούω"],
["1:10","⸂ὀπίσω","P- --------","ὀπίσω"],
["1:10","μου","RP ----GS--","ἐγώ"],
["1:10","φωνὴν⸃","N- ----ASF-","φωνή"],
["1:10","μεγάλην","A- ----ASF-","μέγας"],
["1:10","ὡς","C- --------","ὡς"],
["1:10","σάλπιγγος","N- ----GSF-","σάλπιγξ"],
["1:11","λεγούσης·","V- -PAPGSF-","λέγω"],
["1:11","Ὃ","RR ----ASN-","ὅς"],
["1:11","βλέπεις","V- 2PAI-S--","βλέπω"],
["1:11","γράψον","V- 2AAD-S--","γράφω"],
["1:11","εἰς","P- --------","εἰς"],
["1:11","βιβλίον","N- ----ASN-","βιβλίον"],
["1:11","καὶ","C- --------","καί"],
["1:11","πέμψον","V- 2AAD-S--","πέμπω"],
["1:11","ταῖς","RA ----DPF-","ὁ"],
["1:11","ἑπτὰ","A- ----DPF-","ἑπτά"],
["1:11","ἐκκλησίαις,","N- ----DPF-","ἐκκλησία"],
["1:11","εἰς","P- --------","εἰς"],
["1:11","Ἔφεσον","N- ----ASF-","Ἔφεσος"],
["1:11","καὶ","C- --------","καί"],
["1:11","εἰς","P- --------","εἰς"],
["1:11","Σμύρναν","N- ----ASF-","Σμύρνα"],
["1:11","καὶ","C- --------","καί"],
["1:11","εἰς","P- --------","εἰς"],
["1:11","Πέργαμον","N- ----ASF-","Πέργαμος"],
["1:11","καὶ","C- --------","καί"],
["1:11","εἰς","P- --------","εἰς"],
["1:11","Θυάτειρα","N- ----APN-","Θυάτειρα"],
["1:11","καὶ","C- --------","καί"],
["1:11","εἰς","P- --------","εἰς"],
["1:11","Σάρδεις","N- ----APF-","Σάρδεις"],
["1:11","καὶ","C- --------","καί"],
["1:11","εἰς","P- --------","εἰς"],
["1:11","Φιλαδέλφειαν","N- ----ASF-","Φιλαδέλφεια"],
["1:11","καὶ","C- --------","καί"],
["1:11","εἰς","P- --------","εἰς"],
["1:11","Λαοδίκειαν.","N- ----ASF-","Λαοδίκεια"],
["1:12","⸀Καὶ","C- --------","καί"],
["1:12","ἐπέστρεψα","V- 1AAI-S--","ἐπιστρέφω"],
["1:12","βλέπειν","V- -PAN----","βλέπω"],
["1:12","τὴν","RA ----ASF-","ὁ"],
["1:12","φωνὴν","N- ----ASF-","φωνή"],
["1:12","ἥτις","RR ----NSF-","ὅστις"],
["1:12","ἐλάλει","V- 3IAI-S--","λαλέω"],
["1:12","μετ’","P- --------","μετά"],
["1:12","ἐμοῦ·","RP ----GS--","ἐγώ"],
["1:12","καὶ","C- --------","καί"],
["1:12","ἐπιστρέψας","V- -AAPNSM-","ἐπιστρέφω"],
["1:12","εἶδον","V- 1AAI-S--","ὁράω"],
["1:12","ἑπτὰ","A- ----APF-","ἑπτά"],
["1:12","λυχνίας","N- ----APF-","λυχνία"],
["1:12","χρυσᾶς,","A- ----APF-","χρυσοῦς"],
["1:13","καὶ","C- --------","καί"],
["1:13","ἐν","P- --------","ἐν"],
["1:13","μέσῳ","A- ----DSN-","μέσος"],
["1:13","⸀τῶν","RA ----GPF-","ὁ"],
["1:13","λυχνιῶν","N- ----GPF-","λυχνία"],
["1:13","ὅμοιον","A- ----ASM-","ὅμοιος"],
["1:13","⸀υἱὸν","N- ----ASM-","υἱός"],
["1:13","ἀνθρώπου,","N- ----GSM-","ἄνθρωπος"],
["1:13","ἐνδεδυμένον","V- -XMPASM-","ἐνδύω"],
["1:13","ποδήρη","A- ----ASM-","ποδήρης"],
["1:13","καὶ","C- --------","καί"],
["1:13","περιεζωσμένον","V- -XMPASM-","περιζώννυμι"],
["1:13","πρὸς","P- --------","πρός"],
["1:13","τοῖς","RA ----DPM-","ὁ"],
["1:13","μαστοῖς","N- ----DPM-","μαστός"],
["1:13","ζώνην","N- ----ASF-","ζώνη"],
["1:13","χρυσᾶν·","A- ----ASF-","χρυσοῦς"],
["1:14","ἡ","RA ----NSF-","ὁ"],
["1:14","δὲ","C- --------","δέ"],
["1:14","κεφαλὴ","N- ----NSF-","κεφαλή"],
["1:14","αὐτοῦ","RP ----GSM-","αὐτός"],
["1:14","καὶ","C- --------","καί"],
["1:14","αἱ","RA ----NPF-","ὁ"],
["1:14","τρίχες","N- ----NPF-","θρίξ"],
["1:14","λευκαὶ","A- ----NPF-","λευκός"],
["1:14","ὡς","C- --------","ὡς"],
["1:14","ἔριον","N- ----NSN-","ἔριον"],
["1:14","λευκόν,","A- ----NSN-","λευκός"],
["1:14","ὡς","C- --------","ὡς"],
["1:14","χιών,","N- ----NSF-","χιών"],
["1:14","καὶ","C- --------","καί"],
["1:14","οἱ","RA ----NPM-","ὁ"],
["1:14","ὀφθαλμοὶ","N- ----NPM-","ὀφθαλμός"],
["1:14","αὐτοῦ","RP ----GSM-","αὐτός"],
["1:14","ὡς","C- --------","ὡς"],
["1:14","φλὸξ","N- ----NSF-","φλόξ"],
["1:14","πυρός,","N- ----GSN-","πῦρ"],
["1:15","καὶ","C- --------","καί"],
["1:15","οἱ","RA ----NPM-","ὁ"],
["1:15","πόδες","N- ----NPM-","πούς"],
["1:15","αὐτοῦ","RP ----GSM-","αὐτός"],
["1:15","ὅμοιοι","A- ----NPM-","ὅμοιος"],
["1:15","χαλκολιβάνῳ,","N- ----DSN-","χαλκολίβανον"],
["1:15","ὡς","C- --------","ὡς"],
["1:15","ἐν","P- --------","ἐν"],
["1:15","καμίνῳ","N- ----DSF-","κάμινος"],
["1:15","⸀πεπυρωμένης,","V- -XPPGSF-","πυρόομαι"],
["1:15","καὶ","C- --------","καί"],
["1:15","ἡ","RA ----NSF-","ὁ"],
["1:15","φωνὴ","N- ----NSF-","φωνή"],
["1:15","αὐτοῦ","RP ----GSM-","αὐτός"],
["1:15","ὡς","C- --------","ὡς"],
["1:15","φωνὴ","N- ----NSF-","φωνή"],
["1:15","ὑδάτων","N- ----GPN-","ὕδωρ"],
["1:15","πολλῶν,","A- ----GPN-","πολύς"],
["1:16","καὶ","C- --------","καί"],
["1:16","ἔχων","V- -PAPNSM-","ἔχω"],
["1:16","ἐν","P- --------","ἐν"],
["1:16","τῇ","RA ----DSF-","ὁ"],
["1:16","δεξιᾷ","A- ----DSF-","δεξιός"],
["1:16","⸂χειρὶ","N- ----DSF-","χείρ"],
["1:16","αὐτοῦ⸃","RP ----GSM-","αὐτός"],
["1:16","ἀστέρας","N- ----APM-","ἀστήρ"],
["1:16","ἑπτά,","A- ----APM-","ἑπτά"],
["1:16","καὶ","C- --------","καί"],
["1:16","ἐκ","P- --------","ἐκ"],
["1:16","τοῦ","RA ----GSN-","ὁ"],
["1:16","στόματος","N- ----GSN-","στόμα"],
["1:16","αὐτοῦ","RP ----GSM-","αὐτός"],
["1:16","ῥομφαία","N- ----NSF-","ῥομφαία"],
["1:16","δίστομος","A- ----NSF-","δίστομος"],
["1:16","ὀξεῖα","A- ----NSF-","ὀξύς"],
["1:16","ἐκπορευομένη,","V- -PMPNSF-","ἐκπορεύομαι"],
["1:16","καὶ","C- --------","καί"],
["1:16","ἡ","RA ----NSF-","ὁ"],
["1:16","ὄψις","N- ----NSF-","ὄψις"],
["1:16","αὐτοῦ","RP ----GSM-","αὐτός"],
["1:16","ὡς","C- --------","ὡς"],
["1:16","ὁ","RA ----NSM-","ὁ"],
["1:16","ἥλιος","N- ----NSM-","ἥλιος"],
["1:16","φαίνει","V- 3PAI-S--","φαίνω"],
["1:16","ἐν","P- --------","ἐν"],
["1:16","τῇ","RA ----DSF-","ὁ"],
["1:16","δυνάμει","N- ----DSF-","δύναμις"],
["1:16","αὐτοῦ.","RP ----GSM-","αὐτός"],
["1:17","Καὶ","C- --------","καί"],
["1:17","ὅτε","C- --------","ὅτε"],
["1:17","εἶδον","V- 1AAI-S--","ὁράω"],
["1:17","αὐτόν,","RP ----ASM-","αὐτός"],
["1:17","ἔπεσα","V- 1AAI-S--","πίπτω"],
["1:17","πρὸς","P- --------","πρός"],
["1:17","τοὺς","RA ----APM-","ὁ"],
["1:17","πόδας","N- ----APM-","πούς"],
["1:17","αὐτοῦ","RP ----GSM-","αὐτός"],
["1:17","ὡς","C- --------","ὡς"],
["1:17","νεκρός·","A- ----NSM-","νεκρός"],
["1:17","καὶ","C- --------","καί"],
["1:17","ἔθηκεν","V- 3AAI-S--","τίθημι"],
["1:17","τὴν","RA ----ASF-","ὁ"],
["1:17","δεξιὰν","A- ----ASF-","δεξιός"],
["1:17","αὐτοῦ","RP ----GSM-","αὐτός"],
["1:17","ἐπ’","P- --------","ἐπί"],
["1:17","ἐμὲ","RP ----AS--","ἐγώ"],
["1:17","λέγων·","V- -PAPNSM-","λέγω"],
["1:17","Μὴ","D- --------","μή"],
["1:17","φοβοῦ·","V- 2PMD-S--","φοβέομαι"],
["1:17","ἐγώ","RP ----NS--","ἐγώ"],
["1:17","εἰμι","V- 1PAI-S--","εἰμί"],
["1:17","ὁ","RA ----NSM-","ὁ"],
["1:17","πρῶτος","A- ----NSM-","πρῶτος"],
["1:17","καὶ","C- --------","καί"],
["1:17","ὁ","RA ----NSM-","ὁ"],
["1:17","ἔσχατος,","A- ----NSM-","ἔσχατος"],
["1:18","καὶ","C- --------","καί"],
["1:18","ὁ","RA ----NSM-","ὁ"],
["1:18","ζῶν—","V- -PAPNSM-","ζάω"],
["1:18","καὶ","C- --------","καί"],
["1:18","ἐγενόμην","V- 1AMI-S--","γίνομαι"],
["1:18","νεκρὸς","A- ----NSM-","νεκρός"],
["1:18","καὶ","C- --------","καί"],
["1:18","ἰδοὺ","X- --------","ἰδού"],
["1:18","ζῶν","V- -PAPNSM-","ζάω"],
["1:18","εἰμι","V- 1PAI-S--","εἰμί"],
["1:18","εἰς","P- --------","εἰς"],
["1:18","τοὺς","RA ----APM-","ὁ"],
["1:18","αἰῶνας","N- ----APM-","αἰών"],
["1:18","τῶν","RA ----GPM-","ὁ"],
["1:18","⸀αἰώνων—","N- ----GPM-","αἰών"],
["1:18","καὶ","C- --------","καί"],
["1:18","ἔχω","V- 1PAI-S--","ἔχω"],
["1:18","τὰς","RA ----APF-","ὁ"],
["1:18","κλεῖς","N- ----APF-","κλείς"],
["1:18","τοῦ","RA ----GSM-","ὁ"],
["1:18","θανάτου","N- ----GSM-","θάνατος"],
["1:18","καὶ","C- --------","καί"],
["1:18","τοῦ","RA ----GSM-","ὁ"],
["1:18","ᾅδου.","N- ----GSM-","ᾅδης"],
["1:19","γράψον","V- 2AAD-S--","γράφω"],
["1:19","οὖν","C- --------","οὖν"],
["1:19","ἃ","RR ----APN-","ὅς"],
["1:19","εἶδες","V- 2AAI-S--","ὁράω"],
["1:19","καὶ","C- --------","καί"],
["1:19","ἃ","RR ----NPN-","ὅς"],
["1:19","εἰσὶν","V- 3PAI-P--","εἰμί"],
["1:19","καὶ","C- --------","καί"],
["1:19","ἃ","RR ----NPN-","ὅς"],
["1:19","μέλλει","V- 3PAI-S--","μέλλω"],
["1:19","⸀γίνεσθαι","V- -PMN----","γίνομαι"],
["1:19","μετὰ","P- --------","μετά"],
["1:19","ταῦτα.","RD ----APN-","οὗτος"],
["1:20","τὸ","RA ----NSN-","ὁ"],
["1:20","μυστήριον","N- ----NSN-","μυστήριον"],
["1:20","τῶν","RA ----GPM-","ὁ"],
["1:20","ἑπτὰ","A- ----GPM-","ἑπτά"],
["1:20","ἀστέρων","N- ----GPM-","ἀστήρ"],
["1:20","⸀οὓς","RR ----APM-","ὅς"],
["1:20","εἶδες","V- 2AAI-S--","ὁράω"],
["1:20","ἐπὶ","P- --------","ἐπί"],
["1:20","τῆς","RA ----GSF-","ὁ"],
["1:20","δεξιᾶς","A- ----GSF-","δεξιός"],
["1:20","μου,","RP ----GS--","ἐγώ"],
["1:20","καὶ","C- --------","καί"],
["1:20","τὰς","RA ----APF-","ὁ"],
["1:20","ἑπτὰ","A- ----APF-","ἑπτά"],
["1:20","λυχνίας","N- ----APF-","λυχνία"],
["1:20","τὰς","RA ----APF-","ὁ"],
["1:20","χρυσᾶς·","A- ----APF-","χρυσοῦς"],
["1:20","οἱ","RA ----NPM-","ὁ"],
["1:20","ἑπτὰ","A- ----NPM-","ἑπτά"],
["1:20","ἀστέρες","N- ----NPM-","ἀστήρ"],
["1:20","ἄγγελοι","N- ----NPM-","ἄγγελος"],
["1:20","τῶν","RA ----GPF-","ὁ"],
["1:20","ἑπτὰ","A- ----GPF-","ἑπτά"],
["1:20","ἐκκλησιῶν","N- ----GPF-","ἐκκλησία"],
["1:20","εἰσίν,","V- 3PAI-P--","εἰμί"],
["1:20","καὶ","C- --------","καί"],
["1:20","αἱ","RA ----NPF-","ὁ"],
["1:20","λυχνίαι","N- ----NPF-","λυχνία"],
["1:20","αἱ","RA ----NPF-","ὁ"],
["1:20","ἑπτὰ","A- ----NPF-","ἑπτά"],
["1:20","ἑπτὰ","A- ----NPF-","ἑπτά"],
["1:20","ἐκκλησίαι","N- ----NPF-","ἐκκλησία"],
["1:20","εἰσίν.","V- 3PAI-P--","εἰμί"],
["2:1","Τῷ","RA ----DSM-","ὁ"],
["2:1","ἀγγέλῳ","N- ----DSM-","ἄγγελος"],
["2:1","⸀τῆς","RA ----GSF-","ὁ"],
["2:1","ἐν","P- --------","ἐν"],
["2:1","Ἐφέσῳ","N- ----DSF-","Ἔφεσος"],
["2:1","ἐκκλησίας","N- ----GSF-","ἐκκλησία"],
["2:1","γράψον·","V- 2AAD-S--","γράφω"],
["2:1","Τάδε","RD ----APN-","ὅδε"],
["2:1","λέγει","V- 3PAI-S--","λέγω"],
["2:1","ὁ","RA ----NSM-","ὁ"],
["2:1","κρατῶν","V- -PAPNSM-","κρατέω"],
["2:1","τοὺς","RA ----APM-","ὁ"],
["2:1","ἑπτὰ","A- ----APM-","ἑπτά"],
["2:1","ἀστέρας","N- ----APM-","ἀστήρ"],
["2:1","ἐν","P- --------","ἐν"],
["2:1","τῇ","RA ----DSF-","ὁ"],
["2:1","δεξιᾷ","A- ----DSF-","δεξιός"],
["2:1","αὐτοῦ,","RP ----GSM-","αὐτός"],
["2:1","ὁ","RA ----NSM-","ὁ"],
["2:1","περιπατῶν","V- -PAPNSM-","περιπατέω"],
["2:1","ἐν","P- --------","ἐν"],
["2:1","μέσῳ","A- ----DSN-","μέσος"],
["2:1","τῶν","RA ----GPF-","ὁ"],
["2:1","ἑπτὰ","A- ----GPF-","ἑπτά"],
["2:1","λυχνιῶν","N- ----GPF-","λυχνία"],
["2:1","τῶν","RA ----GPF-","ὁ"],
["2:1","χρυσῶν·","A- ----GPF-","χρυσοῦς"],
["2:2","Οἶδα","V- 1XAI-S--","οἶδα"],
["2:2","τὰ","RA ----APN-","ὁ"],
